Naam,Afkorting,Straat,Postcode,Plaats,Bezoekadres straat,Bezoekadres postcode,Bezoekadres plaats,Telefoon,E-mail,Internetsite,Grondslag,Link wettenbank,Instellingsmotief,Relatie met ministerie,Taken & bevoegdheden,Kaderwet van toepassing,Afwijkende bepalingen artikel,Afwijkende bepalingen,Jaar van oprichting,Aantekening,Personeelsomvang FTE,Personeelsomvang toelichting,Geldende CAO,Aangesloten bij pensioenfonds,Datum laatste evaluatieverslag,Kamerstuknummer laatste evaluatieverslag,Deeltijd,Rechtsvorm,Type ZBO,Mutatiedatum
KNMG / Registratiecommissie Geneeskundig Specialisten,RGS,Postbus 20051,3502 LB,Utrecht,Mercatorlaan 1200,3528 BL,Utrecht,030 2823969,mijnrgs@fed.knmg.nl,http://knmg.artsennet.nl/Opleiding-en-herregistratie/RGS-1.htm,"Wet beroepen in de individuele gezondheidszorg (Wet BIG), art. 14 en 15",[Wet beroepen in de individuele gezondheidszorg](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20beroepen%20in%20de%20individuele%20gezondheidszorg/article=14),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Indien een organisatie van beoefenaren van een beroep als bedoeld in artikel 3 van de hierboven genoemde Wet beroepen in de individuele gezondheidszorg (Wet BIG), voor de inschrijving van beroepsbeoefenaren die een bijzondere deskundigheid hebben verworven met betrekking tot de uitoefening van een deelgebied van hun beroep, een specialistenregister heeft en daaraan een titel is verbonden, kan de Minister van Volksgezondheid, Welzijn en Sport bepalen dat die titel als wettelijk erkende specialistentitel wordt aangemerkt. Een aanvraag daartoe wordt gedaan door het bestuur van de organisatie; het bestuur kan de bevoegdheid daartoe overdragen aan een orgaan. Deze organen zijn zbo s die onderdeel zijn van dit cluster.
 
 * In het kort:
 
 * de inschrijving van specialisten, 
 
 * Het doorhalen van de inschrijving van specialisten,
 
 * Het schorsen van de inschrijving van specialisten",Ja,"22,23",Artikel 22 van de Kaderwet ZBO is niet van toepassing voor zover het besluiten betreft ter zake van de inschrijving.,2013,"Het zbo is onderdeel van het cluster Registratiecommissies KNMG, KNMP, KNMT, FGzPt en VenVN.
 
 
 
 Het betreft hier de registratiecommissie van beroepsorganisatie Koninklijke Nederlandsche Maatschappij tot bevordering der Geneeskunst (KNMG.)
 
 
 
 Per 1 januari 2013 zijn de drie registratiecommissies de Huisarts, Verpleeghuisarts en arts voor verstandelijk gehandicapten Registratie Commissie (HVRC), Medisch Specialisten Registratie Commissie (MSRC) en Sociaal-Geneeskundigen Registratie Commissie (SGRC), samengevoegd tot één commissie; de Registratiecommissie Geneeskundig Specialisten (RGS.)",,,,,,,onbekend,Privaatrechtelijk - Stichting,Onderdeel van een cluster,15/08/16
KNMP / Specialisten Registratie Commissie,SRC,Postbus 30460,2500 GL,Den Haag,Alexanderstraat 11,2514 JL,Den Haag,070 3737373,communicatie@knmp.nl,http://www.knmp.nl/her-registratie/ziekenhuisapothekers/commissies,"Wet beroepen in de individuele gezondheidszorg (Wet BIG), art. 14 en 15",[Wet beroepen in de individuele gezondheidszorg](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20beroepen%20in%20de%20individuele%20gezondheidszorg/article=14),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Indien een organisatie van beoefenaren van een beroep als bedoeld in artikel 3 van de hierboven genoemde Wet beroepen in de individuele gezondheidszorg (Wet BIG), voor de inschrijving van beroepsbeoefenaren die een bijzondere deskundigheid hebben verworven met betrekking tot de uitoefening van een deelgebied van hun beroep, een specialistenregister heeft en daaraan een titel is verbonden, kan de Minister van Volksgezondheid, Welzijn en Sport bepalen dat die titel als wettelijk erkende specialistentitel wordt aangemerkt. Een aanvraag daartoe wordt gedaan door het bestuur van de organisatie; het bestuur kan de bevoegdheid daartoe overdragen aan een orgaan. Deze organen zijn zbo s die onderdeel zijn van dit cluster.
 
 * In het kort:
 
 * de inschrijving van specialisten, 
 
 * Het doorhalen van de inschrijving van specialisten,
 
 * Het schorsen van de inschrijving van specialisten",Ja,"22,23",Artikel 22 van de Kaderwet ZBO is niet van toepassing voor zover het besluiten betreft ter zake van de inschrijving.,1998,"Het zbo is onderdeel van het cluster Registratiecommissies KNMG, KNMP, KNMT, FGzPt en VenVN. Het betreft hier de registratiecommissie van beroepsorganisatie Koninklijke Nederlandse Maatschappij ter bevordering der Pharmacie (KNMP.)",,,,,,,onbekend,Privaatrechtelijk - Stichting,Onderdeel van een cluster,15/08/16
KNMT / Registratiecommissie tandheelkundige Specialismen,RTS,Postbus 20053,3502 LB,Utrecht,,,,030 6076276,rts.herregistratie@knmt.nl,https://www.knmt.nl/rts,"Wet beroepen in de individuele gezondheidszorg (Wet BIG), art. 14 en 15",[Wet beroepen in de individuele gezondheidszorg](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20beroepen%20in%20de%20individuele%20gezondheidszorg/article=14),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Indien een organisatie van beoefenaren van een beroep als bedoeld in artikel 3 van de hierboven genoemde Wet beroepen in de individuele gezondheidszorg (Wet BIG), voor de inschrijving van beroepsbeoefenaren die een bijzondere deskundigheid hebben verworven met betrekking tot de uitoefening van een deelgebied van hun beroep, een specialistenregister heeft en daaraan een titel is verbonden, kan de Minister van Volksgezondheid, Welzijn en Sport bepalen dat die titel als wettelijk erkende specialistentitel wordt aangemerkt. Een aanvraag daartoe wordt gedaan door het bestuur van de organisatie; het bestuur kan de bevoegdheid daartoe overdragen aan een orgaan. Deze organen zijn zbo s die onderdeel zijn van dit cluster. 
 
 * In het kort: 
 
 * de inschrijving van specialisten, 
 
 * Het doorhalen van de inschrijving van specialisten, 
 
 * Het schorsen van de inschrijving van specialisten",Ja,"22,23",Artikel 22 van de Kaderwet ZBO is niet van toepassing voor zover het besluiten betreft ter zake van de inschrijving.,1998,"Deze zbo is onderdeel van het cluster Registratiecommissies KNMG, KNMP, KNMT, FGzPt en VenVN. Het betreft hier de registratiecommissie van beroepsorganisatie Koninklijke Nederlandse Maatschappij tot bevordering der Tandheelkunde (KNMT.)",,,,,,,onbekend,Privaatrechtelijk - Stichting,Onderdeel van een cluster,15/08/16
Koninklijke Bibliotheek,KB,Postbus 90407,2509 LK,Den Haag,Prins Willem-Alexanderhof 5,2595 BE,Den Haag,070 3140911,Via http://www.kb.nl/contact,http://www.kb.nl/,"Wet Stelsel Bibliotheekvoozieningen; Wet op het hoger onderwijs en wetenschappelijk onderzoek, hoofdstuk 13, Staatsblad 1992, 593","</br>[Wet op het hoger onderwijs en wetenschappelijk onderzoek](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=whw)
 </br>[Wet stelsel openbare bibliotheekvoorzieningen](http://wetten.overheid.nl/BWBR0035878/)",,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","* De Koninklijke Bibliotheek is als nationale bibliotheek werkzaam op het gebied van het bibliotheekwezen en heeft in ieder geval tot taak:de informatievoorziening op het gebied van de Nederlandse geschiedenis, cultuur en samenleving, aan het hoger onderwijs, het wetenschappelijk onderzoek, het openbaar bestuur en de uitoefening van beroep of bedrijf;
 
 * het aansturen van het netwerk van openbare bibliotheekvoorzieningen door:afstemming en coördinatie; educatie, informatie en reflectie; en vertegenwoordiging en promotie;
 
 * het in stand houden van de landelijke digitale bibliotheek; en
 
 * het verzorgen van een bibliotheekvoorziening van noodzakelijk omgezette werken voor personen met een handicap;
 
 * het zorg dragen voor de nationale bibliotheekverzameling van geschreven, gedrukte en digitale publicaties;
 
 * het bevorderen van de totstandkoming en instandhouding van nationale voorzieningen voor duurzaam behoud, beheer, ontsluiting en beschikbaarstelling van de nationale bibliotheekverzameling op haar werkterrein;
 
 * het verrichten van onderzoek, gericht op de voorbereiding en uitvoering van het beleid op het in de wet genoemde terrein;
 
 * het zorg dragen voor landelijke programma's voor conservering en digitalisering;
 
 * het bijdragen aan de internationale infrastructuur voor de duurzame toegankelijkheid van digitale wetenschappelijke publicaties;
 
 * het bevorderen van de afstemming met overige wetenschappelijke bibliotheken in en buiten Nederland;
 
 * het bevorderen van de samenwerking met archieven, musea en uitgeverijen op haar werkterrein;
 
 * het bevorderen van de internationale samenwerking op haar werkterrein.",Ja,,,1798,,400,(2014-12-31),CAO Onderzoeksinstellingen,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,01/09/16
Koninklijke Nederlandse Akademie van Wetenschappen,KNAW,Postbus 19121,1000 GC,Amsterdam,Kloveniersburgwal 29,1011 JV,Amsterdam,020 5510700,knaw@knaw.nl,http://www.knaw.nl/,Wet op het hoger onderwijs en wetenschappelijk onderzoek,[Wet op het hoger onderwijs en wetenschappelijk onderzoek](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=whw),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","* Advisering op het gebied van de wetenschapsbeoefening; 
 
 * beoordeling van de kwaliteit van hetwetenschappelijk onderzoek (peer review); 
 
 * forum voor de wetenschappelijke wereld en bevordering van internationale samenwerking; 
 
 * koepelorganisatie voor wetenschappelijke onderzoeksinstituten.",Nee,,,1851,"NIOD (Nederlands Instituut voor Oorlogsdocumentatie) maakt onderdeel uit van de KNAW. 
 
 De Kaderwet ZBO is niet van toepassing vanwege het ontbreken van openbaar gezag.",,,,,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,04/01/16
Landelijk Bureau Inning Onderhoudsbijdragen,LBIO,Postbus 8901,3009 AX,Rotterdam,Marten Meesweg 109-111,3068 AV,Rotterdam,010 2894890,alimentatie@lbio.nl,http://www.lbio.nl/,"Wet Landelijk Bureau Inning Onderhoudsbijdragen, artikel 2, eerste lid",[Wet Landelijk Bureau Inning Onderhoudsbijdragen](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20LANDELIJK%20BUREAU%20INNING%20ONDERHOUDSBIJDRAGEN),,Ministerie van Veiligheid en Justitie (VenJ),"* Op verzoek innen van onderhoudsbijdragen voor minderjarigen en meerderjarigen die de leeftijd van eenentwintig jaar nog niet hebben bereikt;
 
 * uitvoeren van internationale verdragstaken met betrekking tot onderhoudsbijdragen;",Ja,,,1995,,"91,8",(2014-12-31),CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
Luchtverkeersleiding Nederland,LVNL,Postbus 75200,1117 ZT,Schiphol,Stationsplein ZuidWest 1001,1117 CV,Schiphol,020 4062000,communications@lvnl.nl,http://www.lvnl.nl/,"Wet Luchtvaart, artikel 5.22",[Wet Luchtvaart](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20luchtvaart/article=5.22),,Ministerie van Infrastructuur en Milieu (IenM),"* Het veilig en efficient afhandelen van het luchtverkeer op en rond de luchthavens Amsterdam Airport Schiphol, Rotterdam Airport, Groningen Airport Eelde en Maastricht Aachen Airport en boven Nederland tot 24.500 voet;
 
 * het vernieuwen en beheren van technische systemen; 
 
 * het verstrekken van luchtvaartinlichtingen; 
 
 * het verzorgen van opleidingen voor luchtverkeersleiding; 
 
 * het verzorgen van luchtvaartkaarten en publicaties.",Ja,15,,1993,,"863,66",(2014-12-31),Eigen CAO,ABP,17/11/14,TK 31936 nr. 230,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
Medisch-ethische toetsingscommissies,METC,,,,,,,,,,"Wet medisch-wetenschappelijk onderzoek met mensen, art. 16",[Wet medisch-wetenschappelijk onderzoek met mensen](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20medisch-wetenschappelijk%20onderzoek%20met%20mensen/article=16),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)",Toetsen van onderzoeksprotocollen overeenkomstig het bepaalde bij of krachtens de wet.,Nee,,,1999,"Per 2010 zijn er 27 METC's die door de CCMO erkend zijn. Zie voor het overzicht de internetsite www.ccmo-online.nl. 
 
 
 
 Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.",,,,,,,onbekend,Privaatrechtelijk - Stichting,Cluster van ZBO's,14/08/15
Mondriaan Fonds,,Postbus 773,1000 AT,Amsterdam,Brouwersgracht 276,1013 HG,Amsterdam,020 5231523,info@mondriaanfonds.nl,http://www.mondriaanfonds.nl/,"Wet op het specifiek cultuurbeleid, 1993",[Wet op het specifiek cultuurbeleid](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20het%20specifiek%20cultuurbeleid),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","Het Mondriaan Fonds is het publieke stimuleringsfonds voor beeldende kunst en cultureel erfgoed. Het bevordert bijzondere en vernieuwende projecten en activiteiten van beeldend kunstenaars, bemiddelaars en instellingen die van belang zijn voor de beeldende kunst en cultureel erfgoed in Nederland. Alle financiële bijdragen die het Mondriaan Fonds verstrekt, hebben tot doel de betekenisvolle ontwikkeling en zichtbaarheid van beeldende kunst en cultureel erfgoed in Nederland te stimuleren daar waar de markt dit niet of nog niet mogelijk maakt.",Ja,22,,2012,"Het Mondriaan Fonds is voortgekomen uit de fusie op 30 december 2011 van het Fonds BKVB, dat zich richtte op hedendaagse kunstenaars en bemiddelaars, en de Mondriaan Stichting, die zich richtte op instellingen op het gebied van beeldende kunst en cultureel erfgoed.",37,-2014,CAO Rijk,PFZW,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Nederlandse Emissieautoriteit,NEa,Postbus 91503,2509 EC,Den Haag,Koningskade 4,2596 AA,Den Haag,070 4568050,info@emissieautoriteit.nl,https://www.emissieautoriteit.nl/,Wet van 30 september 2004 tot wijziging van de Wet milieubeheer en enige andere wetten ten behoeve van de implementatie van richtlijn nr. 2003/87/EG van het Europees Parlement en de Raad van de Europese Unie van 13 oktober 2003 tot vaststelling van een regeling voor de handel in broeikasgasemissierechten binnen de Gemeenschap en tot wijziging van Richtlijn 96/61/EG van de Raad (PbEU L 275) en de instelling van een emissieautoriteit (Implementatiewet EG-richtlijn handel in broeikasgasemissierechten).,"</br>[Implementatiewet EG-richtlijn handel in broeikasgasemissierechten](http://wetten.overheid.nl/BWBR0017265)
 </br>[Richtlijn nr. 2003/87/EG van het Europees Parlement en de Raad van de Europese Unie van 13-10-2003](http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:275:0032:0046:nl:PDF)",,Ministerie van Infrastructuur en Milieu (IenM),Ondersteunt de uitvoering van de emissiehandel en toetst als onafhankelijk toezichthouder de naleving van de regels.,Ja,,,2004,Het appaaraat van de NEa is vormgegeven in een agentschap. Alleen het bestuur van de NEa is een zbo.,"0,35",(2014-12-31),CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,01/09/16
Nederlandse organisatie voor toegepast-natuurwetenschappelijk onderzoek,TNO,Postbus 96800,2509 JE,Den Haag,Anna van Buerenplein 1,2595 DA,Den Haag,088 8660000,wegwijzer@tno.nl,http://www.tno.nl/,TNO-wet,[TNO-wet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=TNO-wet/article=3),,Ministerie van Economische Zaken (EZ),Het toepasbaar maken van wetenschappelijke kennis om het innovatief vermogen van het bedrijfsleven en de overheid te versterken.,Nee,,,1931,"De Kaderwet ZBO is niet van toepassing vanwege het ontbreken van openbaar gezag (Tweede Kamer 2007-2008, 25268, nummer 50, mededeling minister Onderwijs, Cultuur en Wetenschap).",,,,,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,04/01/16
Nederlandse organisatie voor Wetenschappelijk Onderzoek,NWO,Postbus 93138,2509 AC,Den Haag,Laan van Nieuw Oost-Indië 300,2593 CE,Den Haag,070 3440640,nwo@nwo.nl,http://www.nwo.nl/,Wet op de Nederlandse organisatie voor wetenschappelijk onderzoek,[Wet op de Nederlandse organisatie voor wetenschappelijk onderzoek](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20Nederlandse%20organisatie%20voor%20wetenschappelijk%20onderzoek/article=2),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)",NWO heeft tot taak het bevorderen van de kwaliteit van wetenschappelijk onderzoek alsmede het initiëren en stimuleren van nieuwe ontwikkelingen in het wetenschappelijk onderzoek. NWO voert haar taak uit in het bijzonder door het toewijzen van middelen. De organisatie bevordert de overdracht van kennis van de resultaten van door haar geï¿½nitieerd en gestimuleerd onderzoek ten behoeve van de maatschappij. NWO richt zich bij het uitvoeren van haar taak in hoofdzaak op het universitair onderzoek. Daarbij let zij op het aspect van coördinatie en bevordert deze waar nodig.,Ja,15,De rechtspositie van het personeel is geregeld in de CAO Onderzoeksinstellingen,1950,,1.846,(2014-12-31),CAO Onderzoeksinstellingen,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
Nederlandse Publieke Omroep,NPO,Postbus 26444,1202 JJ,Hilversum,Bart de Graaffweg 2,1217 ZL,Hilversum,035 6778899,Via de website kunt u contact opnemen met deze organisatie.,http://www.npo.nl/,"Mediawet 2008, artikel 2.2",[Mediawet 2008](http://wetten.overheid.nl/BWBR0025028),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","* Het bevorderen van samenwerking en coördinatie binnen de landelijke publieke omroep.
 
 * Het indelen van de zendtijd van de instellingen die zendtijd hebben verkregen voor landelijke omroep.
 
 * De bekostiging van de instellingen die zendtijd hebben verkregen voor landelijke omroep.",Nee,,,1988,"De taak van de Nederlandse Omroep Stichting (NOS) is per 1 januari 2010 overgegaan in een nieuwe stichting, de Nederlandse Publieke Omroep (NPO).
 
 De Kaderwet ZBO is niet van toepassing, omdat de ZBO-taak een neventaak is (Tweede Kamer 2007-2008, 25268, nummer 50, mededelingen minister Onderwijs, Cultuur en Wetenschap).",,,,,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,15/08/16
Nederlandse Transplantatie Stichting,NTS,Postbus 2304,2301 CH,Leiden,Plesmanlaan 100,2332 CB,Leiden,071 5795777,info@transplantatiestichting.nl,http://www.transplantatiestichting.nl/,"Wet op de orgaandonatie, artikel 24",[Wet op de orgaandonatie](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20orgaandonatie/article=24),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Orgaancentrum:centrale donoraanname; 
 
 * toewijzing van organen en weefsels; 
 
 * transport van organen; 
 
 * patiëntenregistratie op de (inter-)nationale wachtlijst. <br />Voor de internationale uitwisseling van organen en weefsels wordt nauw samengewerkt met Eurotransplant International en Bio Implant Services (BIS). 
 
 * Transplantatie en follow-up:beheren van een database waarin alle relevante transplantatie- en donatiegegevens zijn opgenomen, ten behoeve van internationale samenwerking en voor de evaluatie van donatie- en transplantatieresultaten. 
 
 * Raadplegen Donorregister:volgens de Wet op de Orgaandonatie (Wod) zijn artsen verplicht het Donorregister te raadplegen indien er sprake is van een medisch geschikte donor, dit gebeurt via de Nederlandse Transplantatie Stichting.",Ja,22,Artikel 22 van de Kaderwet is uitgezonderd voor zover het besluiten betreft met betrekking tot het toewijzen van organen.,2000,,44,(2014-12-31),Eigen CAO op basis van CAO Ziekenhuizen,Pensioenfonds Zorg en Welzijn,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,18/07/16
Nederlandse Zorgautoriteit,NZa,Postbus 3017,3502 GA,Utrecht,Newtonlaan 1-41,3584 BX,Utrecht,030 2968111,info@nza.nl,http://www.nza.nl/,"Wet marktordening gezondheidszorg, artikel 3",[Wet marktordening gezondheidszorg](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20marktordening%20gezondheidszorg/article=3),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* De zorgautoriteit is belast met:markttoezicht, marktontwikkeling en tarief- en prestatieregulering, op het terrein van de gezondheidszorg;
 
 * toezicht op de rechtmatige uitvoering door de zorgverzekeraars van hetgeen bij of krachtens de Zorgverzekeringswet is geregeld; 
 
 * toezicht op de rechtmatige afrekening van de bijdragen, bedoeld in de artikelen 32 tot en met 34 van de Zorgverzekeringswet, nadat een verzekeraar opgehouden is zorgverzekeringen uit te voeren; 
 
 * toezicht op de rechtmatige en doelmatige uitvoering door de AWBZ-verzekeraars en de rechtspersonen, bedoeld in artikel 40 van de Algemene Wet Bijzondere Ziektekosten, van hetgeen bij of krachtens die wet en de artikelen 91, tweede lid, tweede volzin, 123 en 124 van de Wet financiering sociale verzekeringen is geregeld; 
 
 * toezicht op de uitvoering van de artikelen 41, 42 en 43.<p>De zorgautoriteit vindt haar wettelijke basis in de wet marktordening gezondheidszorg. De zorgautoriteit richt zich - naast bekostiging van zorgverleners en het bewaken van goede uitvoering van verzekeringswetten in de zorg - op het pro-actief vaststellen van condities voor marktwerking en de handhaving daarvan. Doel van het nieuwe zorgstelsel is dat de consument waar voor zijn geld krijgt. Daarbij hebben efficiëntie, keuze, kwaliteit en toegankelijkheid van zorgmarkten een centrale plaats.",Ja,,,2006,,318,(2014-12-31),CAO Rijk,ABP,02/09/14,TK 25268 nr. 87,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
Nederlands-Vlaamse Accreditatieorganisatie,NVAO,Postbus 85498,2508 CD,Den Haag,Parkstraat 28,2514 JK,Den Haag,070 3122300,info@nvao.net,http://www.nvao.net/,"Gebaseerd op het Accreditatieverdrag Nederland - Vlaanderen, artikel 1 en deWet op het hoger en wetenschappelijk onderwijs, artikel 5a.2",[Wet op het hoger en wetenschappelijk onderwijs](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=whw/article=5a.2),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","De taken en werkwijze van de NVAO zijn in wetgeving vastgelegd. Haar hoofdtaken zijn: 
 * Het beoordelen en het borgen van het niveau en de kwaliteit van het hoger onderwijs in Nederland en Vlaanderen; 
 * Het bevorderen van de kwaliteitscultuur binnen het hoger onderwijs. 
 * De NVAO vervult deze taken in internationaal perspectief en in de context van het Europese Bolognaproces.",Ja,,,2002,,"46,3",-2014,CAO Rijk,ABP,12/09/13,TK 32210 nr.24,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,31/08/16
Notarissen,,,,,,,,,,,Wet op het notarisambt,[Wet op het notarisambt](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20OP%20HET%20NOTARISAMBT),,Ministerie van Veiligheid en Justitie (VenJ),"* De wet heeft de notaris de bevoegdheid gegeven authentieke akten op te maken, met name op het gebied van:
 
  - het personen- en familierecht (het opmaken van huwelijkse voorwaarden, testamenten, echtscheidingsakten, verklaringen van erfrecht enz.);
 
  - het onroerende zaakrecht (het opmaken van akten van levering, hypotheekakten, akten in het kader van een openbare veiling enz.);
 
  - het rechtspersonenrecht (het opmaken van oprichtingsakten, statutenwijzigingen, akten van overdracht en uitgifte (emissie) van aandelen, akten van juridische fusie en -splitsing en dergelijke).
 
 * Daarnaast kunnen partijen de notaris ook vragen om andere akten voor hen in notariële vorm op te maken.",Nee,,,1842,"Opnieuw ingesteld in 1999.
 
 
 
 Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.",,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,21/09/15
Onderzoeksraad voor veiligheid,,Postbus 95404,2509 CK,Den Haag,Anna van Saksenlaan 50,2593 HT,Den Haag,070 3337000,info@onderzoeksraad.nl,http://www.onderzoeksraad.nl/,"Rijkswet Onderzoeksraad voor veiligheid, artikel 2","[Rijkswet Onderzoeksraad voor veiligheid, art. 2](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=rijkswet%20onderzoeksraad%20voor%20veiligheid/article=2)",,Ministerie van Veiligheid en Justitie (VenJ),"De Onderzoeksraad heeft, met het uitsluitende doel toekomstige voorvallen te voorkomen of de gevolgen daarvan te beperken, tot taak te onderzoeken en vast te stellen wat de oorzaken of vermoedelijke oorzaken van individuele of categorieën voorvallen en van de omvang van hun gevolgen zijn en daaraan zo nodig aanbevelingen te verbinden.De raad is bevoegd onderzoek te verrichten naar gebeurtenissen op terreinen zoals verkeer en vervoer, defensie, gezondheid, defensie, milieu, branden en explosies, industrie, bouw, natuurrampen. In beginsel komen alle voorvallen in aanmerking voor onderzoek door de raad, met uitzondering van gebeurtenissen op het gebied van openbare orde, terreurbestrijding, vredesmissies, oorlogshandelingen en dergelijke. De raad is bevoegd voor het gehele Koninkrijk, dus Nederland, Aruba, Curaçao en Sint Maarten.",Ja,"12,20,21,23,39",De gemaakte uitzonderingen waarborgen de onafhankelijkheid van de raad.,1999,De Onderzoeksraad voor veiligheid is vanaf 1 februari 2005 de voortzetting van de Raad voor de Transportveiligheid.,"62,7",(2014-12-31) in bezetting. 71.7(2014-12-31) in formatie en 9 (2014-12-31) vacatures,CAO Rijk,ABP,29/06/15,TK 32008-(R1883) nr. 2,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
Pensioen- en Uitkeringsraad,PUR,Postbus 9575,2300 RB,Leiden,Stationsplein 1,2312 AJ,Leiden,071 5356500,info@pur.nl,http://www.pur.nl/,"Wet uitvoering wetten voor verzetsdeelnemers en oorlogsgetroffenen, artikel 3, eerste lid (Wuvo)",[Wet uitvoering wetten voor verzetsdeelnemers en oorlogsgetroffenen (Wuvo)](http://wetten.overheid.nl/BWBR0027660/),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Het geven van beschikkingen op een aanvraag voor een erkenning, buitengewoon pensioen, garantietoeslag, (periodieke) uitkering, garantieuitkering, vergoeding, tegemoetkoming of herziening als bedoeld in de wetten voor verzetsdeelnemers en oorlogsgetroffenen, afkomstig van een persoon die nog geen financiële aanspraak ontleent of heeft ontleend aan de wet waarop hij zijn aanvraag baseert; 
 
 * Het ambtshalve herzien van de erkenning als verzetsdeelnemer, vervolgde of burger-slachtoffer; 
 
 * Het vaststellen van beleidsregels voor beschikkingen van de Sociale Verzekeringsbank als bedoeld in artikel 6 (onderdelen a, b en d); 
 
 * Het adviseren van de Sociale Verzekeringsbank over beschikkingen waarbij niet op basis van de beleidsregels, bedoeld in onderdeel c, kan worden besloten.",Ja,,,1990,,,,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,18/07/16
