Gemeente,Plaats,Postcode,Plaats,Postadres,Postcode,Plaats,Telefoon,Fax,E-mail,website
Simpelveld,Markt 1,6369 AH,SIMPELVELD,Postbus 21000,6369 ZG,SIMPELVELD,14 045,(045) 544 52 25,info@simpelveld.nl,www.simpelveld.nl
Sint Anthonis,Brink 3,5845 BH,SINT ANTHONIS,Postbus 40,5845 ZG,SINT ANTHONIS,(0485) 38 88 88,(0485) 38 14 42,postbus@sintanthonis.nl,www.sintanthonis.nl
Sint-Michielsgestel,Meanderplein 1,5271 GC,SINT-MICHIELSGESTEL,Postbus 10000,5270 GA,SINT-MICHIELSGESTEL,(073) 553 11 11,(073) 553 12 12,gemeente@sint-michielsgestel.nl,www.sint-michielsgestel.nl
Sint-Oedenrode,Burgemeester Wernerplein 1,5492 GD,SINT-OEDENRODE,Postbus 44,5490 AA,SINT-OEDENRODE,(0413) 48 19 11,(0413) 47 80 60,info@sint-oedenrode.nl,www.sint-oedenrode.nl
Sittard-Geleen,Hub Dassenplein 1,6131 LB,SITTARD,Postbus 18,6130 AA,SITTARD,14 046,(046) 477 75 55,info@sittard-geleen.nl,www.sittard-geleen.nl
Sliedrecht,Industrieweg 11,3361 HJ,SLIEDRECHT,Postbus 16,3360 AA,SLIEDRECHT,(0184) 49 59 00,(0184) 41 81 35,gemeente@sliedrecht.nl,www.sliedrecht.nl
Slochteren,Hoofdweg 10 a,9621 AL,SLOCHTEREN,Postbus 13,9620 AA,SLOCHTEREN,(0598) 42 55 55,(0598) 42 55 50,algemeen@slochteren.nl,www.slochteren.nl
Sluis,Nieuwstraat 22,4501 BD,OOSTBURG,Postbus 27,4500 AA,OOSTBURG,(0117) 45 70 00,(0117) 45 22 41,info@gemeentesluis.nl,www.gemeentesluis.nl
Smallingerland,Gauke Boelensstraat 2,9203 RM,DRACHTEN,Postbus 10000,9200 HA,DRACHTEN,(0512) 58 12 34,(0512) 58 14 00,gemeente@smallingerland.nl,www.smallingerland.nl
Soest,Raadhuisplein 1,3762 AV,SOEST,Postbus 2000,3760 CA,SOEST,(035) 609 34 11,(035) 609 36 89,Postbus2000@soest.nl,www.soest.nl
Someren,Wilhelminaplein 1,5711 EK,SOMEREN,Postbus 290,5710 AG,SOMEREN,(0493) 49 48 88,(0493) 49 48 50,gemeente@someren.nl,www.someren.nl
Son en Breugel,Raadhuisplein 1,5691 AL,SON EN BREUGEL,Postbus 8,5690 AA,SON EN BREUGEL,(0499) 49 14 91,(0499) 47 23 55,gemeente@sonenbreugel.nl,www.sonenbreugel.nl
Stadskanaal,Raadhuisplein 1,9501 SZ,STADSKANAAL,Postbus 140,9500 AC,STADSKANAAL,(0599) 63 16 31,(0599) 62 07 44,gemeente@stadskanaal.nl,www.stadskanaal.nl
Staphorst,Binnenweg 26,7951 DE,STAPHORST,Postbus 2,7950 AA,STAPHORST,(0522) 46 74 00,(0522) 46 75 00,gemeente@staphorst.nl,www.staphorst.nl
Stede Broec,De Middend 2,1611 KW,BOVENKARSPEL,Postbus 20,1610 AA,BOVENKARSPEL,(0228) 51 01 11,(0228) 51 01 83,gemeente@stedebroec.nl,www.stedebroec.nl
Steenbergen,Buiten de Veste 1,4652 GA,STEENBERGEN NB,Postbus 6,4650 AA,STEENBERGEN NB,,(0167) 54 34 99,info@gemeente-steenbergen.nl,www.gemeente-steenbergen.nl
Steenwijkerland,Vendelweg 1,8331 XE,STEENWIJK,Postbus 162,8330 AD,STEENWIJK,14 0521,(0521) 53 85 09,info@steenwijkerland.nl,www.steenwijkerland.nl
Stein,Stadhouderslaan 200,6171 KP,STEIN LB,Postbus 15,6170 AA,STEIN LB,(046) 435 93 93,(046) 435 93 59,info@gemeentestein.nl,www.gemeentestein.nl
Stichtse Vecht,Endelhovenlaan 1,3601 GR,MAARSSEN,Postbus 1212,3600 BE,MAARSSEN,(0346) 25 40 00,(0346) 25 40 10,info@stichtsevecht.nl,www.stichtsevecht.nl
Strijen,Waleplein 2,3291 CZ,STRIJEN,Postbus 5881,3290 EA,STRIJEN,(078) 674 82 00,(078) 674 82 95,info@strijen.nl,www.strijen.nl
Súdwest Fryslân,Marktstraat 15,8601 CR,SNEEK,Postbus 10000,8600 HA,SNEEK,(0515) 48 90 00,(0515) 48 99 99,info@gemeentesudwestfryslan.nl,www.gemeentesudwestfryslan.nl
Ten Boer,Hendrik Westerstraat 24,9791 CT,TEN BOER,Postbus 7,9790 AA,TEN BOER,(050) 302 88 88,(050) 302 17 00,gemeente@tenboer.nl,www.tenboer.nl
Terneuzen,Stadhuisplein 1,4531 GZ,TERNEUZEN,Postbus 35,4530 AA,TERNEUZEN,,(0115) 61 84 29,gemeente@terneuzen.nl,www.terneuzen.nl
Terschelling,Burg van Heusdenweg 10 a,8881 EB,WEST-TERSCHELLING,Postbus 14,8880 AA,WEST-TERSCHELLING,(0562) 44 62 44,(0562) 44 62 99,gemeente@terschelling.nl,www.terschelling.nl
Texel,Emmalaan 15,1791 AT,DEN BURG,Postbus 200,1790 AE,DEN BURG,,(0222) 36 22 87,gemeente@texel.nl,www.texel.nl
Teylingen,Wilhelminalaan 25,2171 CS,SASSENHEIM,Postbus 149,2215 ZJ,VOORHOUT,(0252) 78 33 00,(0252) 78 35 99,gemeente@teylingen.nl,www.teylingen.nl
Tholen,Hof van Tholen 2,4691 DZ,THOLEN,Postbus 51,4690 AB,THOLEN,(0166) 66 82 00,(0166) 66 35 53,gemeente@tholen.nl,www.tholen.nl
Tiel,Achterweg 2,4001 MV,TIEL,Postbus 6325,4000 HH,TIEL,(0344) 63 71 11,(0344) 63 72 99,gemeente@tiel.nl,www.tiel.nl
Tilburg,Stadhuisplein 130,5038 TC,TILBURG,Postbus 90155,5000 LH,TILBURG,14 013,,gemeente@tilburg.nl,www.tilburg.nl
Tubbergen,Raadhuisplein 1,7651 CV,TUBBERGEN,Postbus 30,7650 AA,TUBBERGEN,(0546) 62 80 00,(0546) 62 81 11,gemeente@tubbergen.nl,www.tubbergen.nl
Twenterand,Manitobaplein 1,7671 GS,VRIEZENVEEN,Postbus 67,7670 AB,VRIEZENVEEN,(0546) 84 08 40,(0546) 84 08 41,info@twenterand.nl,www.twenterand.nl
Tynaarlo,Kornoeljeplein 1,9481 AW,VRIES,Postbus 5,9480 AA,VRIES,(0592) 26 66 62,(0592) 26 66 00,info@tynaarlo.nl,www.tynaarlo.nl
Tytsjerksteradiel,Raadhuisweg 7,9251 GH,BURGUM,Postbus 3,9250 AA,BURGUM,(0511) 46 08 60,(0511) 46 08 61,gemeente@t-diel.nl,www.t-diel.nl
Uden,Markt 145,5401 EJ,UDEN,Postbus 83,5400 AB,UDEN,(0413) 28 19 11,(0413) 28 14 81,postbus83@uden.nl,www.uden.nl
Uitgeest,Middelweg 28,1911 EG,UITGEEST,Postbus 7,1910 AA,UITGEEST,14 0251,,gemeentebestuur@uitgeest.nl,www.uitgeest.nl
Uithoorn,Laan van Meerwijk 16,1423 AJ,UITHOORN,Postbus 8,1420 AA,UITHOORN,(0297) 51 31 11,(0297) 51 32 22,gemeente@uithoorn.nl,www.uithoorn.nl
Urk,Singel 9,8321 GT,URK,Postbus 77,8320 AB,URK,(0527) 68 98 68,(0527) 68 98 98,gemeente@urk.nl,www.urk.nl/
Utrecht,Korte Minrebroederstraat 2,3512 GG,UTRECHT,Postbus 16200,3500 CE,UTRECHT,(030) 286 00 00,(030) 286 12 24,Gemeente@utrecht.nl,www.utrecht.nl
Utrechtse Heuvelrug,Kerkplein 2,3941 HV,DOORN,Postbus 200,3940 AE,DOORN,(0343) 56 56 00,(0343) 41 57 60,info@heuvelrug.nl,www.heuvelrug.nl
Vaals,Von Clermontplein 15,6291 AT,VAALS,Postbus 450,6290 AL,VAALS,(043) 306 85 68,(043) 306 85 49,info@vaals.nl,www.vaals.nl
Valkenburg aan de Geul,Geneindestraat 4,6301 HC,VALKENBURG LB,Postbus 998,6300 AZ,VALKENBURG LB,14 043,(043) 601 68 25,info@valkenburg.nl,www.valkenburg.nl
Valkenswaard,De Hofnar 15,5554 DA,VALKENSWAARD,Postbus 10100,5550 GA,VALKENSWAARD,(040) 208 34 44,(040) 204 58 90,gemeente@valkenswaard.nl,www.valkenswaard.nl
Veendam,Raadhuisplein 5,9641 AW,VEENDAM,Postbus 20004,9640 PA,VEENDAM,(0598) 65 22 22,(0598) 65 22 50,Info@veendam.nl,www.veendam.nl
Veenendaal,Raadhuisplein 1,3901 GA,VEENENDAAL,Postbus 1100,3900 BC,VEENENDAAL,(0318) 53 89 11,(0318) 51 04 14,info@veenendaal.nl,www.veenendaal.nl
Veere,Traverse 1,4357 ET,DOMBURG,Postbus 1000,4357 ZV,DOMBURG,(0118) 55 54 44,(0118) 55 54 33,gemeente@veere.nl,www.veere.nl
Veghel,Stadhuisplein 1,5461 KN,VEGHEL,Postbus 10001,5460 DA,VEGHEL,14 0413,(0413) 38 63 08,info@veghel.nl,www.veghel.nl
Veldhoven,Meiveld 1,5501 KA,VELDHOVEN,Postbus 10101,5500 GA,VELDHOVEN,14 040,(040) 254 13 95,gemeente@veldhoven.nl,www.veldhoven.nl
Velsen,Dudokplein 1,1971 EN,IJMUIDEN,Postbus 465,1970 AL,IJMUIDEN,(0255) 56 72 00,(0255) 56 77 60,info@velsen.nl,www.velsen.nl
Venlo,Prinsessesingel 30,5911 HT,VENLO,Postbus 3434,5902 RK,VENLO,14 077,(077) 359 67 66,info@venlo.nl,www.venlo.nl
Venray,Raadhuisstraat 1,5801 MB,VENRAY,Postbus 500,5800 AM,VENRAY,(0478) 52 33 33,(0478) 52 32 22,gemeente@venray.nl,www.venray.nl
Vianen,Voorstraat 30,4132 AS,VIANEN UT,Postbus 46,4130 EA,VIANEN UT,(0347) 36 99 11,(0347) 37 46 88,gemeente@vianen.nl,www.vianen.nl
Vlaardingen,Westnieuwland 6,3131 VX,VLAARDINGEN,Postbus 1002,3130 EB,VLAARDINGEN,(010) 248 40 00,(010) 248 42 50,,www.vlaardingen.nl
Vlagtwedde,Dorpsstraat 1,9551 AB,SELLINGEN,Postbus 14,9550 AA,SELLINGEN,(0599) 32 02 20,(0599) 32 02 99,info@vlagtwedde.nl,www.vlagtwedde.nl
Vlieland,Dorpsstraat 127,8899 AE,VLIELAND,Postbus 10,8899 ZN,VLIELAND,(0562) 45 27 00,,info@vlieland.nl,www.vlieland.nl
Vlissingen,Paul Krugerstraat 1,4382 MA,VLISSINGEN,Postbus 3000,4380 GV,VLISSINGEN,(0118) 48 70 00,(0118) 41 02 18,gemeente@vlissingen.nl,www.vlissingen.nl
Voerendaal,Raadhuisplein 1,6367 ED,VOERENDAAL,Postbus 23000,6367 ZG,VOERENDAAL,(045) 575 33 99,(045) 575 11 95,info@voerendaal.nl,www.voerendaal.nl
Voorschoten,Leidseweg 25,2252 LA,VOORSCHOTEN,Postbus 393,2250 AJ,VOORSCHOTEN,(071) 560 06 00,(071) 522 65 87,gemeente@voorschoten.nl,www.voorschoten.nl
Voorst,H.W. Iordensweg 17,7391 KA,TWELLO,Postbus 9000,7390 HA,TWELLO,(0571) 27 99 11,(0571) 27 43 85,Gemeente@voorst.nl,www.voorst.nl
Vught,Secr. van Rooijstraat 2,5261 EP,VUGHT,Postbus 10100,5260 GA,VUGHT,(073) 658 06 80,(073) 656 59 65,gemeente@vught.nl,www.vught.nl
Waalre,Laan van Diepenvoorde 32,5582 LA,WAALRE,Postbus 10000,5580 GA,WAALRE,(040) 228 25 00,(040) 221 73 95,gemeente@waalre.nl,www.waalre.nl
Waalwijk,Taxandriaweg 6,5141 PA,WAALWIJK,Postbus 10150,5140 GB,WAALWIJK,(0416) 68 34 56,(0416) 68 34 38,info@waalwijk.nl,www.waalwijk.nl
Waddinxveen,Raadhuisplein 1,2741 HR,WADDINXVEEN,Postbus 400,2740 AK,WADDINXVEEN,14 0182,,gemeente@waddinxveen.nl,www.waddinxveen.nl
Wageningen,Markt 22,6701 CZ,WAGENINGEN,Postbus 1,6700 AA,WAGENINGEN,(0317) 49 29 11,(0317) 49 24 40,gemeente@wageningen.nl,www.wageningen.nl
Wassenaar,Johan de Wittstraat 45,2242 LV,WASSENAAR,Postbus 499,2240 AL,WASSENAAR,(070) 512 22 22,(070) 511 45 51,gemeente@wassenaar.nl,www.wassenaar.nl
Waterland,Pierebaan 3,1141 GV,MONNICKENDAM,Postbus 1000,1140 BA,MONNICKENDAM,(0299) 65 85 85,(0299) 65 85 99,gemeente@waterland.nl,www.waterland.nl
Weert,Wilhelminasingel 101,6001 GS,WEERT,Postbus 950,6000 AZ,WEERT,(0495) 57 50 00,(0495) 54 15 54,gemeente@weert.nl,www.weert.nl
Weesp,Nieuwstraat 70 a,1381 BD,WEESP,Postbus 5099,1380 GB,WEESP,(0294) 49 13 91,(0294) 41 42 51,info@weesp.nl,www.weesp.nl
Werkendam,Raadhuisplein 1,4251 VZ,WERKENDAM,Postbus 16,4250 DA,WERKENDAM,(0183) 50 72 00,(0183) 50 73 00,info@werkendam.nl,www.werkendam.nl
West Maas en Waal,Dijkstraat 11,6658 AG,BENEDEN-LEEUWEN,Postbus 1,6658 ZG,BENEDEN-LEEUWEN,14 0487,(0487) 59 45 49,info@westmaasenwaal.nl,www.westmaasenwaal.nl
Westerveld,Raadhuislaan 1,7981 EL,DIEVER,Postbus 50,7970 AB,HAVELTE,(0521) 34 93 49,(0521) 34 94 99,info@gemeentewesterveld.nl,www.gemeentewesterveld.nl
Westervoort,Dorpsplein 1,6931 CZ,WESTERVOORT,Postbus 40,6930 AA,WESTERVOORT,(026) 317 99 11,(026) 311 36 23,gemeente@westervoort.nl,www.westervoort.nl
Westland,Stokdijkkade 2,2671 GW,NAALDWIJK,Postbus 150,2670 AD,NAALDWIJK,14 0174,(0174) 67 36 00,info@gemeentewestland.nl,www.gemeentewestland.nl
Weststellingwerf,Griffioenpark 1,8471 KR,WOLVEGA,Postbus 60,8470 AB,WOLVEGA,,(0561) 61 36 06,info@weststellingwerf.nl,www.weststellingwerf.nl
Westvoorne,Raadhuislaan 6,3235 AP,ROCKANJE,Postbus 550,3235 ZH,ROCKANJE,(0181) 40 80 00,(0181) 40 80 99,gemeente@westvoorne.nl,www.westvoorne.nl
Wierden,Plantsoenlaan 1,7642 EC,WIERDEN,Postbus 43,7640 AA,WIERDEN,(0546) 58 08 00,(0546) 57 59 15,gemeente@wierden.nl,www.wierden.nl
Wijchen,Kasteellaan 22 -24,6602 DE,WIJCHEN,Postbus 9000,6600 HA,WIJCHEN,14 024,(024) 751 72 08,gemeente@wijchen.nl,www.wijchen.nl
Wijdemeren,Rading 1,1231 KB,LOOSDRECHT,Postbus 190,1230 AD,LOOSDRECHT,(035) 655 95 95,(035) 655 95 99,postbus@wijdemeren.nl,www.wijdemeren.nl
Wijk bij Duurstede,Karel de Grotestraat 30,3962 CL,WIJK BIJ DUURSTEDE,Postbus 83,3960 BB,WIJK BIJ DUURSTEDE,(0343) 59 55 95,(0343) 59 55 99,info@wijkbijduurstede.nl,www.wijkbijduurstede.nl
Winsum,Hoofdstraat Winsum 70,9951 AC,WINSUM GN,Postbus 10,9950 AA,WINSUM GN,(0595) 44 77 77,(0595) 44 22 30,Gemeente@winsum.nl,www.winsum.nl
Winterswijk,Stationsstraat 25,7101 GH,WINTERSWIJK,Postbus 101,7100 AC,WINTERSWIJK,(0543) 54 35 43,(0543) 54 30 65,gemeente@winterswijk.nl,www.winterswijk.nl
Woensdrecht,Huijbergseweg 3,4631 GC,HOOGERHEIDE,Postbus 24,4630 AA,HOOGERHEIDE,14 0164,(0164) 61 63 31,gemeente@woensdrecht.nl,www.woensdrecht.nl
Woerden,Blekerijlaan 14,3447 GR,WOERDEN,Postbus 45,3440 AA,WOERDEN,14 0348,(0348) 42 41 08,stadhuis@woerden.nl,www.woerden.nl
Wormerland,Koetserstraat 3,1531 NX,WORMER,Postbus 20,1530 AA,WORMER,(075) 642 90 00,(075) 642 91 00,Postbus@wormerland.nl,www.wormerland.nl
Woudenberg,Parklaan 1,3931 KK,WOUDENBERG,Postbus 16,3930 EA,WOUDENBERG,(033) 286 91 00,(033) 286 91 91,postbus@gemwoudenberg.nl,www.woudenberg.eu
Woudrichem,Raadhuisplein 1,4285 CP,WOUDRICHEM,Postbus 6,4285 ZG,WOUDRICHEM,(0183) 30 81 00,(0183) 30 33 80,gemeente@woudrichem.nl,www.woudrichem.nl
Zaanstad,Stadhuisplein 100,1506 MZ,ZAANDAM,Postbus 2000,1500 GA,ZAANDAM,,(075) 655 24 00,,www.zaanstad.nl
Zaltbommel,Hogeweg 11,5301 LB,ZALTBOMMEL,Postbus 10002,5300 DA,ZALTBOMMEL,14 0418,(0418) 68 16 45,info@zaltbommel.nl,www.zaltbommel.nl
Zandvoort,Swaluestraat 2,2042 KB,ZANDVOORT,Postbus 2,2040 AA,ZANDVOORT,(023) 574 01 00,(023) 571 37 24,info@zandvoort.nl,www.zandvoort.nl
Zederik,Prinses Marijkeweg 1,4231 BP,MEERKERK,Postbus 1,4230 BA,MEERKERK,(0183) 35 65 00,(0183) 35 28 02,postbus1@zederik.nl,www.zederik.nl
Zeevang,Raadhuisstraat 24,1474 HG,OOSTHUIZEN,Postbus 1,1474 ZG,OOSTHUIZEN,(029) 940 94 09,(029) 940 94 29,gemeente@zeevang.nl,www.zeevang.nl
Zeewolde,Raadhuisplein 1,3891 ER,ZEEWOLDE,Postbus 1,3890 AA,ZEEWOLDE,(036) 522 94 00,(036) 522 23 94,info@zeewolde.nl,www.zeewolde.nl
Zeist,Slotlaan 20,3701 GK,ZEIST,Postbus 513,3700 AM,ZEIST,14 030,(030) 691 49 44,zeist@zeist.nl,www.zeist.nl
Zevenaar,Kerkstraat 27,6901 AA,ZEVENAAR,Postbus 10,6900 AA,ZEVENAAR,(0316) 59 51 11,(0316) 59 51 00,gemeente@zevenaar.nl,www.zevenaar.nl
Zoetermeer,Markt 10,2711 CZ,ZOETERMEER,Postbus 15,2700 AA,ZOETERMEER,14 079,,Antwoord@zoetermeer.nl,www.zoetermeer.nl
Zoeterwoude,Noordbuurtseweg 27,2381 ET,ZOETERWOUDE,Postbus 34,2380 AA,ZOETERWOUDE,(071) 580 63 00,(071) 580 63 01,gemeente@zoeterwoude.nl,www.zoeterwoude.nl
Zuidhorn,Hooiweg 9,9801 AJ,ZUIDHORN,Postbus 3,9800 AA,ZUIDHORN,(0594) 50 88 88,(0594) 50 87 50,gemeente@zuidhorn.nl,www.zuidhorn.nl
Zuidplas,Raadhuisplein 1,2914 KM,NIEUWERKERK AD IJSSEL,Postbus 100,2910 AC,NIEUWERKERK AD IJSSEL,(0180) 33 03 00,(0180) 33 03 29,gemeente@zuidplas.nl,www.zuidplas.nl
Zundert,Markt 1,4881 CN,ZUNDERT,Postbus 10001,4880 GA,ZUNDERT,(076) 599 56 00,(076) 599 56 66,gemeente@zundert.nl,www.zundert.nl
Zutphen,&#39;s Gravenhof 2,7201 DN,ZUTPHEN,Postbus 41,7200 AA,ZUTPHEN,14 0575,(0575) 58 70 01,info@zutphen.nl,www.zutphen.nl
Zwartewaterland,Telvorenstraat 2,8061 CB,HASSELT,Postbus 23,8060 AA,HASSELT,(038) 385 30 00,(038) 385 30 05,info@zwartewaterland.nl,www.zwartewaterland.nl
Zwijndrecht,Raadhuisplein 3,3331 BT,ZWIJNDRECHT,Postbus 15,3330 AA,ZWIJNDRECHT,,(078) 770 80 80,gemeente@zwijndrecht.nl,www.zwijndrecht.nl
Zwolle,Lubeckplein 2,8017 JZ,ZWOLLE,Postbus 10007,8000 GA,ZWOLLE,,(038) 498 20 41,postbus@zwolle.nl,www.zwolle.nl
